"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
343;"HAT-P-15 b";"Confirmed";"1.946";"0.066";"0.066";;;;"1.072";"0.043";"0.043";"10.863502";"27.0";"27.0";"0.0964";"0.0014";"0.0014";"0.19";"0.019";"0.019";"89.1";"0.2";"0.2";"0.000507";2010;"2018-12-17";"262.0";"1.0";"1.0";;;;;;;"2454638.56019";"0.00048";"0.00048";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-15";66.25;39.4605556;"12.16";;;;;190;"8.0";"8.0";"0.22";"0.08";"0.08";"1.013";"0.043";"0.043";"1.08";"0.043";"0.043";"G5";"6.8";"1.6";"1.6";"5568.0";"90.0";"90.0";;;;59.0796516883237;134.268722088488;120.75390273242;53721;4.88478343783079
345;"HAT-P-17 b";"Confirmed";"0.534";"0.018";"0.018";;;;"1.01";;;"10.338523";;;"0.0882";;;"0.346";;;"89.2";;;"0.00098";2010;"2013-05-31";"201.0";;;;;;;;;"2454804.246";;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-17";324.5375;30.4886111;"10.54";;;;;90;"3.0";"3.0";"0.0";;;"0.857";"0.039";"0.039";"0.837";;;"K";"7.8";;;"5246.0";;;;;;63.16876402145;-44.9954915056782;45.6630375267;21025;2.52330574216024
346;"HAT-P-17 c";"Confirmed";;;;"1.4";;;;;;"1798.0";;;"2.75";;;"0.1";;;;;;"0.030556";2010;"2010-12-09";"155.0";;;"2452636.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"HAT-P-17";324.5375;30.4886111;"10.54";;;;;90;"3.0";"3.0";"0.0";;;"0.857";"0.039";"0.039";"0.837";;;"K";"7.8";;;"5246.0";;;;;;63.16876402145;-44.9954915056782;45.6630375267;21025;2.52330574216024
349;"HAT-P-2 b";"Confirmed";"8.74";"0.26";"0.26";;;;"0.951";"0.053";"0.053";"5.6334729";"6.1e-06";"6.1e-06";"0.0674";"0.00081";"0.00081";"0.5171";"0.0033";"0.0033";"90.0";"0.93";"0.93";"0.000571";2007;"2012-09-20";"185.22";"0.95";"0.95";"2454213.4794";"0.003";"0.003";;;;"2454387.49375";"0.00074";"0.00074";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-2";245.15;41.0480556;"8.71";;;;;118;"8.0";"8.0";"0.04";"0.05";"0.05";"1.34";"0.09";"0.09";"1.54";"0.12";"0.12";"F8";"2.7";"0.5";"0.5";"6414.0";"51.0";"51.0";;;;-37.3978463388435;-80.7512108849252;77.4896317569943;29688;3.58350084568903
350;"HAT-P-20 b";"Confirmed";"7.246";"0.187";"0.187";;;;"0.867";"0.033";"0.033";"2.875317";"4e-06";"4e-06";"0.0361";"0.0005";"0.0005";"0.015";"0.0005";"0.0005";"81.9";"0.1";"0.1";"0.000516";2010;"2017-02-13";"317.0";"130.0";"130.0";;;;;;;"2456708.35626";"8.8e-05";"8.8e-05";;;;"172.0";"6.9";"6.9";;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-20";111.9166667;24.3363889;"11.34";;;;;70;"3.0";"3.0";"0.35";"0.08";"0.08";"0.756";"0.028";"0.028";"0.694";"0.21";"0.21";"K7";"6.7";"3.8";"3.8";"4595.0";"80.0";"80.0";;;;-23.8063445545652;59.1704010628112;28.8465179357127;13296;4.26216400942127
352;"HAT-P-22 b";"Confirmed";"2.147";"0.061";"0.061";;;;"1.08";"0.058";"0.058";"3.21222";"9e-06";"9e-06";"0.0414";"0.0005";"0.0005";"0.016";"0.009";"0.009";"73.6";"3.7";"3.7";"0.000505";2010;"2015-08-20";"156.0";"66.0";"66.0";;;;;;;"2456706.58936";"0.0009";"0.0009";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-22";155.6833333;50.1283333;"9.73";;;;;82;"3.0";"3.0";"0.24";"0.08";"0.08";"0.916";"0.035";"0.035";"1.04";"0.044";"0.044";"G5";"12.4";"2.6";"2.6";"5302.0";"80.0";"80.0";;;;-47.9041294971292;21.6463216676452;62.9335453902219;18705;1.97375430987306
389;"HAT-P-54 b";"Confirmed";"0.76";"0.032";"0.032";;;;"0.944";"0.028";"0.028";"3.799847";"1.4e-05";"1.4e-05";"0.04117";"0.00043";"0.00043";"0.074";"0.074";"0.0";"87.04";"0.084";"0.084";;2014;"2020-06-06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;"H2S";"HAT-P-54";99.8980416785;25.4825277998;"13.505";;;;;135.8;"3.5";"3.5";"-0.127";"0.08";"0.08";"0.645";"0.02";"0.02";"0.617";"0.013";"0.013";"K";"3.9";"2.1";"4.3";"4390.0";"50.0";"50.0";;;;-21.072472393864;120.764193101194;58.4260264935694;35669;4.80826158312103
391;"HAT-P-56 b";"Confirmed";"2.31";"0.44";"0.44";"2.18";"0.25";"0.25";"1.51";"0.11";"0.11";"2.79083";"5e-06";"5e-06";"0.0423";"0.00039";"0.00039";"0.246";"0.246";"0.0";"82.13";"0.18";"0.18";;2015;"2021-02-05";;;;;;;;;;"2456553.61645";"0.00042";"0.00042";;;;"8.0";"2.0";"2.0";"0.7613";"0.0104";"0.0077";;;;"262.0";"30.0";"30.0";"1840.0";;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";"2MASS 06432353+2715082 b, BD+27 1206, EPIC 202126852 b, EPIC 202126852.01, GSC 1901-00976 b, HD 262389 b, HIP 032209 b, K2-20 b, SAO 133614 b, TYC 1901-00976-1 b, WISE J064323.52+271507.9 b";;"HAT-P-56";100.848038;27.252293;"10.91";"9.919";"10.068";"9.881";;323.5;"5.61";"5.61";"0.0";"0.08";"0.08";"1.42";"0.33";"0.33";"1.47";"0.11";"0.11";"F8";"2.01";"0.35";"0.35";"6566.0";"50.0";"50.0";;;"2MASS J06432353+2715082, BD+27 1206, EPIC 202126852, GSC 1901-00976, HD 262389, HIP 32209, K2-20, SAO 133614, TYC 1901-00976-1, WISE J064323.52+271507.9";-54.1260341885726;282.451806641802;148.133721170432;81748;3.2253676182279
395;"HAT-P-6 b";"Confirmed";"1.057";"0.119";"0.119";;;;"1.33";"0.061";"0.061";"3.853003";"1.4e-06";"1.4e-06";"0.05235";"0.00087";"0.00087";"0.0";;;"85.51";"0.35";"0.35";"0.000262";2007;"2019-06-14";;;;;;;;;;"2454035.67617";"0.00025";"0.00025";;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";;;;;"HAT-P-6";354.775;42.4661111;"10.5";"10.6";;;;200;"20.0";"20.0";"-0.13";"0.08";"0.08";"1.29";"0.06";"0.06";"1.46";"0.06";"0.06";"F";"2.3";"0.7";"0.7";"6570.0";"80.0";"80.0";;;;146.922315081152;-13.4356185978649;135.030801982687;56100;3.82248832385284
414;"HATS-13 b";"Confirmed";"0.543";"0.072";"0.072";"0.543";"0.072";"0.072";"1.212";"0.035";"0.035";"3.0440499";"2.7e-06";"2.7e-06";"0.04057";"0.00041";"0.00041";"0.18";"0.18";"0.0";"88.55";"0.43";"0.43";;2015;"2015-07-27";;;;;;;;;;"2456340.31705";"0.00026";"0.00026";;;;;;;"0.249";"0.071";"0.062";;;;"78.0";"10.0";"10.0";"1244.0";;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";;;"HATS-13";316.962500017;-26.096666679;"13.89";;;;;476;"12.0";"12.0";"0.05";"0.06";"0.06";"0.962";"0.029";"0.029";"0.887";"0.019";"0.019";;"2.5";"1.7";"1.7";"5523.0";"69.0";"69.0";;;;312.443309604455;-291.740651301288;-209.386175908809;96409;4.4121231455063
