"planet_id";"planet_name";"planet_status";"mass";"mass_error_min";"mass_error_max";"mass_sini";"mass_sini_error_min";"mass_sini_error_max";"radius";"radius_error_min";"radius_error_max";"orbital_period";"orbital_period_error_min";"orbital_period_error_max";"semi_major_axis";"semi_major_axis_error_min";"semi_major_axis_error_max";"eccentricity";"eccentricity_error_min";"eccentricity_error_max";"inclination";"inclination_error_min";"inclination_error_max";"angular_distance";"discovered";"updated";"omega";"omega_error_min";"omega_error_max";"tperi";"tperi_error_min";"tperi_error_max";"tconj";"tconj_error_min";"tconj_error_max";"tzero_tr";"tzero_tr_error_min";"tzero_tr_error_max";"tzero_tr_sec";"tzero_tr_sec_error_min";"tzero_tr_sec_error_max";"lambda_angle";"lambda_angle_error_min";"lambda_angle_error_max";"impact_parameter";"impact_parameter_error_min";"impact_parameter_error_max";"tzero_vr";"tzero_vr_error_min";"tzero_vr_error_max";"k";"k_error_min";"k_error_max";"temp_calculated";"temp_calculated_error_min";"temp_calculated_error_max";"temp_measured";"hot_point_lon";"geometric_albedo";"geometric_albedo_error_min";"geometric_albedo_error_max";"log_g";"publication";"detection_type";"mass_detection_type";"radius_detection_type";"alternate_names";"molecules";"star_name";"ra";"dec";"mag_v";"mag_i";"mag_j";"mag_h";"mag_k";"star_distance";"star_distance_error_min";"star_distance_error_max";"star_metallicity";"star_metallicity_error_min";"star_metallicity_error_max";"star_mass";"star_mass_error_min";"star_mass_error_max";"star_radius";"star_radius_error_min";"star_radius_error_max";"star_sp_type";"star_age";"star_age_error_min";"star_age_error_max";"star_teff";"star_teff_error_min";"star_teff_error_max";"star_detected_disc";"star_magnetic_field";"star_alternate_names";"x";"y";"z";"star_id";"distance_to_host_star"
1;"11 Com b";"Confirmed";;;;"19.4";"1.5";"1.5";;;;"326.03";"0.32";"0.32";"1.29";"0.05";"0.05";"0.231";"0.005";"0.005";;;;"0.011664";2008;"2015-08-21";"94.8";"1.5";"1.5";"2452899.6";"1.6";"1.6";;;;;;;;;;;;;;;;;;;"296.7";"5.6";"5.6";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"11 Com";185.1791667;17.7927778;"4.74";;;;;110.6;"10.5";"10.5";"-0.35";"0.09";"0.09";"2.7";"0.3";"0.3";"19.0";"2.0";"2.0";"G8 III";;;;"4742.0";"100.0";"100.0";;;;-104.879822273928;-9.50636164704847;33.7966265775854;28205;3.91199041882269
3;"11 UMi b";"Confirmed";;;;"10.5";"2.47";"2.47";;;;"516.22";"3.25";"3.25";"1.54";"0.07";"0.07";"0.08";"0.03";"0.03";;;;"0.012887";2009;"2009-08-12";"117.63";"21.06";"21.06";"2452861.05";"2.06";"2.06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"11 UMi";229.275;71.8238889;"5.02";;;;;119.5;"6.9";"6.9";"0.04";"0.04";"0.04";"1.8";"0.25";"0.25";"24.08";"1.84";"1.84";"K4III";"1.56";"0.54";"0.54";"4340.0";"70.0";"70.0";;;;-24.3203973747922;-28.2501278774772;113.537212166049;32391;2.59995692893532
4;"14 And b";"Confirmed";;;;"5.33";"0.57";"0.57";;;;"185.84";"0.23";"0.23";"0.83";;;"0.0";;;;;;"0.010864";2008;"2014-08-27";;;;"2452861.4";"1.5";"1.5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"14 And";352.8208333;39.2361111;"5.22";"4.1";"3.02";"2.61";"2.33";76.4;"4.1";"4.1";"-0.24";;;"2.2";"0.2";"0.2";"11.0";"1.0";"1.0";"K0III";;;;"4813.0";"20.0";"20.0";;;;58.7113917609736;-7.39528589821199;48.3243440097555;17648;2.77607209393297
5;"14 Her b";"Confirmed";;;;"4.64";"0.19";"0.19";;;;"1773.4";"2.5";"2.5";"2.77";"0.05";"0.05";"0.369";"0.005";"0.005";;;;"0.153039";2002;"2014-08-27";"22.6";"0.9";"0.9";"2451372.7";"3.6";"3.6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"14 Her";242.5958333;43.8216667;"6.67";;;;;18.1;;;"0.43";"0.08";"0.08";"0.9";;;"0.708";"0.085";"0.085";"K0 V";"5.1";;;"5311.0";"87.0";"87.0";;;;-6.01064815308526;-11.5936521216048;12.5327307185234;1428;0.528521651629661
6;"16 Cyg B b";"Confirmed";;;;"1.68";"0.07";"0.07";;;;"799.5";"0.6";"0.6";"1.68";"0.03";"0.03";"0.689";"0.011";"0.011";;;;"0.078468";1996;"2014-08-27";"83.4";"2.1";"2.1";"2450539.3";"1.6";"1.6";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"16 Cyg B";295.4625;50.5175;"6.2";;;;;21.41;"0.24";"0.24";"0.08";"0.04";"0.04";"1.01";"0.04";"0.04";"0.98";"0.13";"0.13";"G2.5 V";"8.0";"1.8";"1.8";"5766.0";"60.0";"60.0";;;;5.85267143399304;-12.2910770262838;16.5246410738533;2152;0.196854325072834
7;"17 Sco b";"Confirmed";;;;"4.32";"0.12";"0.15";;;;"578.38";"2.0";"2.0";"1.45";"0.02";"0.02";"0.06";"0.02";"0.03";;;;;2020;"2020-10-26";"57.03";"106.77";"113.18";"2453294.28";"182.91";"174.23";;;;;;;;;;;;;;;;;;;"92.4";"3.84";"3.9";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"17 Sco";243.462500017;-11.837777798;"5.24";;;;;116;"4.53";"4.91";"-0.01";"0.1";"0.1";"1.22";"0.14";"0.14";"25.92";"0.74";"0.78";"K3 III";"5.13";"1.33";"2.12";"4157.0";"11.0";"11.0";;;;-50.7246438901303;-101.5713622111;-23.7964047873003;30243;0.00911064924516121
8;"18 Del b";"Confirmed";;;;"10.3";;;;;;"993.3";"3.2";"3.2";"2.6";;;"0.08";"0.01";"0.01";;;;"0.035568";2008;"2014-08-27";"166.1";"6.5";"6.5";"2451672.0";"18.0";"18.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"18 Del";314.6083333;10.8391667;"5.52";;"4.03";"3.44";"3.67";73.1;"3.5";"3.5";"-0.052";"0.023";"0.023";"2.3";;;"8.5";;;"G6III";;;;"4979.0";"18.0";"18.0";;;;50.4190872412199;-51.1131596468123;13.7466560545365;16382;2.20119949410757
10;"1RXS 1609 b";"Confirmed";"14.0";"3.0";"2.0";;;;"1.7";;;;;;"330.0";"0.0";"0.0";;;;;;;"2.275862";2008;"2018-11-15";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1800.0";;;;;"4.0";"Published in a refereed paper";"Imaging";;;"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609";"CO, H2O, K";"1RXS 1609";242.375;-21.0827778;;"10.99";"9.82";"9.12";"8.92";145;"20.0";"20.0";;;;"0.73";"0.05";"0.05";"1.35";;;"K7V";"0.011";"0.002";"0.002";"4060.0";"200.0";"200.0";;;"1RXS1609, 1RXS J1609, 1RXS J160929";-62.7334585174065;-119.87061866922;-52.1588723258393;39866;1.96436204374345
12;"1SWASP J1407 b";"Confirmed";;;;"20.0";"6.0";"6.0";;;;"3725.0";"900.0";"900.0";"3.9";"1.7";"1.7";;;;;;;;2012;"2014-10-29";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";;;;"1SWASP J1407";211.950000016;-39.761944469;"12.4";;;;;133;"12.0";"12.0";;;;"0.9";;;"0.99";"0.11";"0.11";;"0.016";;;"4400.0";"100.0";"100.0";;;;-86.7501842032182;-54.1023254982699;-85.0667027478259;35750;2.28293580761039
13;"24 Boo b";"Confirmed";;;;"0.91";"0.1";"0.13";;;;"30.3506";"0.0078";"0.0078";"0.19";"0.009";"0.012";"0.042";"0.029";"0.048";;;;;2018;"2018-04-16";"210.0";"130.0";"100.0";"2450008.6";"7.9";"10.1";;;;;;;;;;;;;;;;;;;"59.9";"3.3";"3.3";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"24 Boo";217.162500013;49.845000026;"5.6";;;;;100;"2.5";"2.5";"-0.77";"0.03";"0.03";"0.99";"0.13";"0.19";"10.64";"0.59";"0.84";"G3IV";"6.92";"4.8";"4.8";"4893.0";"15.0";"15.0";;;;-51.3903440704199;-38.9544071370848;76.4302734583758;24692;0.00557564244904667
14;"24 Sex b";"Confirmed";;;;"1.99";"0.38";"0.26";;;;"452.8";"4.5";"2.1";"1.333";"0.009";"0.004";"0.09";"0.06";"0.14";;;;"0.017821";2010;"2014-05-23";"9.2";"165.4";"277.9";"2454762.0";"172.3";"172.3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"24 Sex";155.868205808;-0.902243675771;"7.38";;;;;72.2084;"0.6832";"0.6832";"-0.03";"0.04";"0.04";"1.54";"0.08";"0.08";"4.9";"0.08";"0.08";"G5";"2.7";"0.4";"0.4";"5098.0";"44.0";"44.0";;;;-65.8897534504791;29.5178012248322;-1.13702754864237;16428;3.90738957101402
15;"24 Sex c";"Confirmed";;;;"0.86";"0.22";"0.35";;;;"883.0";"14.0";"32.0";"2.08";"0.02";"0.05";"0.29";"0.09";"0.16";;;;"0.027807";2010;"2014-05-23";"220.5";"320.9";"182.2";"2454930.0";"96.5";"96.5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"24 Sex";155.868205808;-0.902243675771;"7.38";;;;;72.2084;"0.6832";"0.6832";"-0.03";"0.04";"0.04";"1.54";"0.08";"0.08";"4.9";"0.08";"0.08";"G5";"2.7";"0.4";"0.4";"5098.0";"44.0";"44.0";;;;-65.8897534504791;29.5178012248322;-1.13702754864237;16428;3.90738957101402
17;"2M 0103-55 (AB) b";"Confirmed";"13.0";"1.0";"1.0";;;;;;;;;;"84.0";;;;;;;;;;2013;"2020-05-29";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;"H";"2M 0103-55 (AB)";15.9;-55.2656;;;"7.5";;;47.2;"3.1";"3.1";;;;"0.4";;;;;;"M";"0.03";;;;;;;;;25.8643850973499;7.36766390595349;-38.7890591804557;7711;2.61832444494938
18;"2M 0122-24 b";"Confirmed";"20.0";"7.0";"7.0";;;;"1.0";"0.2";"0.2";;;;"52.0";"6.0";"6.0";;;;;;;;2013;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1380.0";;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 0122-24";20.7125;-24.6142;;;;;;36;"4.0";"4.0";;;;"0.4";"0.05";"0.05";;;;"M3.5";"0.12";"0.01";"0.01";;;;;;;30.6134217390069;11.5754811864806;-14.9942203775699;4930;2.26315336521591
19;"2M 0219-39 b";"Confirmed";"13.9";"1.1";"1.1";;;;"1.44";"0.03";"0.03";;;;"156.0";"10.0";"10.0";;;;;;;;2015;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1683.0";;;;;;"Published in a refereed paper";"Imaging";"Spectrum";"Theoretical";;;"2M 0219-39";34.841666674;-39.423055569;;;;;;39.4;"2.6";"2.6";;;;"0.11";"0.01";"0.01";"0.27";"0.01";"0.01";"M6";;;;"3064.0";"76.0";"76.0";;;"2MASS J0292210-3925225";24.9795608555361;17.3882012648194;-25.0206314116711;6475;3.36198721187504
20;"2M 0441+23 b";"Confirmed";"7.5";"2.5";"2.5";;;;;;;;;;"15.0";"0.6";"0.6";;;;;;;"0.107143";2010;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 0441+23";70.4375;23.0308333;;;"14.2";"13.72";"13.16";140;;;;;;"0.02";;;;;;"M8.5";"0.001";;;;;;;;;43.1405410066318;121.404095918336;54.7717008673885;38580;3.94690084138612
22;"2M 2140+16 b";"Confirmed";"20.0";"20.0";"80.0";;;;"0.92";"0.39";"0.39";"7340.0";"584.0";"584.0";"3.53";"0.15";"0.15";"0.26";"0.06";"0.06";"46.2";"8.7";"8.7";"0.1412";2010;"2012-01-19";"223.0";"47.0";"47.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 2140+16";325.1208333;16.4216667;;;;;;25;"10.0";"10.0";;;;"0.08";"0.06";"0.06";"0.1";"0.043";"0.043";;;;;"2300.0";"80.0";"80.0";;;;19.6723758027728;-13.7130079714257;7.06760515663521;3315;2.3396528111588
23;"2M 2206-20 b";"Confirmed";"30.0";"20.0";"70.0";;;;"1.3";"0.18";"0.18";"8686.0";"69.4";"69.4";"4.48";"0.4";"0.4";"0.0";;;"44.3";"0.7";"0.7";"0.167979";2010;"2012-01-19";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;"2M 2206-20";331.5958333;-20.785;;;;;;26.67;"2.63";"2.63";;;;"0.13";"0.05";"0.05";"0.11";"0.015";"0.015";;;;;"2350.0";"80.0";"80.0";;;;21.9325407528542;-11.8609419224611;-9.4641752327603;3498;2.3864072970559
24;"2M 2236+4751 b";"Confirmed";"12.5";"1.5";"1.5";;;;;;;;;;"230.0";"20.0";"20.0";;;;;;;"3.7";2016;"2016-11-03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1200.0";;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;"CO, H2O";"2M 2236+4751";339.104166675;47.861944471;"12.5";;;;;63;;;;;;"0.6";"0.05";"0.05";;;;"K7";"0.12";"0.01";"0.01";;;;;;;39.487971840222;-15.0756998525781;46.7164141806797;12418;4.12403802483847
25;"2M J2126-81 b";"Confirmed";"13.3";"1.7";"1.7";;;;;;;;;;"6900.0";;;;;;;;;;2016;"2016-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1800.0";;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;;"TYC 9486-927-1";321.366666676;-81.64111113;"9.0";;;;;24.75;"4.25";"4.25";;;;"0.4";;;;;;"M2";"0.027";"0.017";"0.017";;;;;;;2.81059317071898;-2.24634544891114;-24.4870781873392;2793;0.957894283516968
26;"2M0045+16";"Confirmed";"25.0";"4.6";"4.6";;;;;;;;;;;;;;;;;;;;2019;"2019-06-07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Submitted to a professional journal";"Imaging";"Spectrum";;;;;11.3392916738;16.5790555768;;;;;;15.4;"0.05";"0.05";;;;;;;;;;;;;;;;;;;;14.4716649238947;2.90204588951796;4.39420572864416;1169;1.73117968289982
27;"2M0117-34";"Confirmed";"16.4";"3.7";"3.7";;;;;;;;;;;;;;;;;;;;2019;"2019-06-07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Submitted to a professional journal";"Imaging";"Spectrum";;;;;19.4475000158;-34.056944451;;;;;;39.02;"1.04";"1.04";;;;;;;;;;;;;;;;;;;;30.4829709906828;10.7631622830433;-21.8518469985964;5548;3.67759493637074
28;"2M1059-21 b";"Confirmed";"66.95";"4.84";"4.41";;;;;;;"690.0";"3.0";"3.4";"0.8";"0.02";"0.01";"0.146";"0.053";"0.074";"32.9";"3.44";"2.94";;2020;"2020-05-01";"256.0";"29.0";"59.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Astrometry";"Astrometry";;;;"2M1059-21";164.962500017;-21.219166673;;;;;;31.81;"0.7";"0.7";;;;"0.81";"0.008";"0.002";;;;"L2";;;;;;;;;;-28.6379269558438;7.69360211882086;-11.5131979097481;4091;1.41927474904414
29;"2M1207 A";"Confirmed";"60.0";"20.0";"80.0";;;;;;;;;;"42.0";"2.0";"19.0";;;;;;;;2004;"2018-09-16";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;"2M1207, 2MASS J12073346-3932539";;;181.887500011;-39.548333356;;;;;;52.4;"1.1";"1.1";;;;;;;;;;;;;;;;;;;;-40.3830742493152;-1.33082470175311;-33.3645953038172;9131;1.6404826624601
30;"2M1207 b";"Confirmed";"5.0";"2.0";"2.0";;;;;;;;;;"42.0";"2.0";"19.0";;;;;;;"0.877863";2004;"2018-12-04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b";;;181.887500011;-39.548333356;;;;;;52.4;"1.1";"1.1";;;;;;;;;;;;;;;;;;;;-40.3830742493152;-1.33082470175311;-33.3645953038172;9131;1.6404826624601
31;"2M1510A a";"Confirmed";"40.0";"3.0";"3.0";;;;"1.57";"1.56";"1.57";"20.902";"0.006";"0.006";"0.063";"0.001";"0.001";"0.31";"0.02";"0.02";"88.5";"0.1";"0.1";;2020;"2020-03-24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";"2MASSW  J1510478-281817 a";;;227.6991666826;-28.304722232;;;;;;36.6;"0.3";"0.3";;;;;;;;;;;;;;;;;;;;-21.687529425479;-23.8335872567679;-17.3542843670667;4904;2.16689294466216
32;"2M1510A b";"Confirmed";"39.3";"3.0";"3.0";;;;"1.57";"1.56";"1.57";"20.902";"0.006";"0.006";"0.063";"0.001";"0.001";"0.31";"0.02";"0.02";"88.5";"0.1";"0.1";;2020;"2020-03-24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Primary Transit";"Radial Velocity";"Primary Transit";;;;227.6991666826;-28.304722232;;;;;;36.6;"0.3";"0.3";;;;;;;;;;;;;;;;;;;;-21.687529425479;-23.8335872567679;-17.3542843670667;4904;2.16689294466216
33;"2MASS J00413538-5621127 A";"Confirmed";"30.0";;;;;;;;;;;;;;;;;;;;;;2009;"2019-02-27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;;10.3974532026;-56.3535514379;;;;;;34.7133;"0.9474";"0.9474";;;;;;;;;;;;;;;;;;;;18.9176566355495;3.47117050373435;-28.8978621984993;4480;2.23915370793569
34;"2MASS J00413538-5621127 B";"Confirmed";"15.0";;;;;;;;;"126.0";"37.0";"86.0";"8.9";"1.9";"3.7";;;;;;;;2010;"2019-02-27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;;10.3974532026;-56.3535514379;;;;;;34.7133;"0.9474";"0.9474";;;;;;;;;;;;;;;;;;;;18.9176566355495;3.47117050373435;-28.8978621984993;4480;2.23915370793569
35;"2MASS J0249-0557 (AB) c";"Confirmed";"11.6";"1.0";"1.3";;;;;;;;;;;;;;;;;;;;2018;"2018-07-31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Astrometry";"Astrometry";;;;;42.484952078;-5.95983636252;;;;;;48.9;"5.4";"4.4";;;;;;;;;;;;;;;;;;;;35.8666217153173;32.8483783903962;-5.07735008165481;8280;3.71924012398893
36;"2MASS J0249-0557A";"Confirmed";"48.0";"12.0";"13.0";;;;;;;;;;;;;;;;;;;;2018;"2018-07-31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Astrometry";"Astrometry";;;;;42.484952078;-5.95983636252;;;;;;48.9;"5.4";"4.4";;;;;;;;;;;;;;;;;;;;35.8666217153173;32.8483783903962;-5.07735008165481;8280;3.71924012398893
37;"2MASS J0249-0557B";"Confirmed";"44.0";"11.0";"14.0";;;;;;;;;;;;;;;;;;;;2018;"2018-07-31";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Astrometry";"Astrometry";;;;;42.484952078;-5.95983636252;;;;;;48.9;"5.4";"4.4";;;;;;;;;;;;;;;;;;;;35.8666217153173;32.8483783903962;-5.07735008165481;8280;3.71924012398893
38;"2MASS J0348-6022";"Confirmed";"43.0";"18.0";"22.0";;;;"0.91";"0.1";"0.2";;;;;;;;;;;;;;2021;"2021-03-11";;;;;;;;;;;;;;;;;;;;;;;;;;;;"880.0";"110.0";"110.0";;;;;;;"Published in a refereed paper";"Imaging";"Theoretical";"Theoretical";"2MASS J03480772-6022270";;;57.0321710025737;-60.374183902236;;;;;;9;"1.0";"1.0";;;;;;;;;;;;;;;;;;;;2.42100488479724;3.73260725149543;-7.82345054652176;341;1.91059238358704
39;"2MASS J0407+1546";"Confirmed";"67.0";"28.0";"9.0";;;;"0.97";"0.8";"0.24";;;;;;;;;;;;;;2021;"2021-03-11";;;;;;;;;;;;;;;;;;;;;;;;;;;;"1840.0";"210.0";"210.0";;;;;;;"Published in a refereed paper";"Imaging";"Theoretical";"Theoretical";;;;61.7813608341355;15.7793166834808;;;;;;36.4421;"2.3553";"2.3553";;;;;;;;;;;;;;;;;;;;16.5818529903624;30.9008829523955;9.90980507267228;5317;1.28631472313427
40;"2MASS J10475385+2124234";"Confirmed";"42.0";"26.0";"26.0";;;;;;;;;;;;;;;;;;;;1999;"2020-04-11";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";"Theoretical";;"2MASS J1047+21";;;161.974394017952;21.4065190132152;;;;;;10.56;;;;;;;;;;;;;;;;;;;;;;-9.34896386813199;3.04228240179082;3.85421747960808;506;1.386892587912
41;"2MASS J11011926-7732383 A";"Confirmed";"50.0";;;;;;;;;;;;;;;;;;;;;;2004;"2019-02-27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;;165.330275006;-77.5439750192;;;;;;168;"10.0";"10.0";;;;;;;;;;;;;;;;;;;;-35.0547288178111;9.17664098728008;-164.045588930944;47115;1.62949818298728
42;"2MASS J11011926-7732383 B";"Confirmed";"30.0";;;;;;;;;;;;"240.0";;;;;;;;;;2004;"2019-02-27";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";;;;;;165.330275006;-77.5439750192;;;;;;168;"10.0";"10.0";;;;;;;;;;;;;;;;;;;;-35.0547288178111;9.17664098728008;-164.045588930944;47115;1.62949818298728
44;"2MASS J1155-7919 b";"Confirmed";"10.0";;;;;;;;;;;;"582.0";;;;;;;;;;2020;"2020-02-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;;"2MASS J1155-7919";178.769;-79.32;"14.0";;;;;101.15;"0.5";"0.5";;;;;;;;;;"M3";"0.005";;;;;;;;;-18.7411565583554;0.4027157737648;-99.3978338338456;25681;2.33930187019117
45;"2MASS J1219+3128";"Confirmed";"49.0";"25.0";"25.0";;;;"0.97";"0.13";"0.27";;;;;;;;;;;;;;2021;"2021-03-11";;;;;;;;;;;;;;;;;;;;;;;;;;;;"1330.0";"140.0";"140.0";;;;;;;"Published in a refereed paper";"Imaging";"Theoretical";"Theoretical";;;;184.964836017187;31.4804760203808;;;;;;19;"2.0";"2.0";;;;;;;;;;;;;;;;;;;;-16.142749349519;-1.40232502265782;9.92195182257153;1814;0.649723005815622
46;"2MASS J1450-7841 A";"Confirmed";"40.0";;;;;;;;;;;;"300.0";;;;;;;;;;2017;"2018-05-17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;;"2MASS J1450-7841 B";222.670833347;-78.693888911;;;;;;75;"25.0";"25.0";;;;"0.04";;;;;;"M9p";;;;;;;;;;-10.8111155900128;-9.96602543403584;-73.5445315217082;16505;2.3599120188085
47;"2MASS J1450-7841 B";"Confirmed";"40.0";;;;;;;;;;;;"300.0";;;;;;;;;;2017;"2018-05-17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;;"2MASS J1450-7841 A";222.675000014;-78.694722245;;;;;;75;;;;;;"0.04";;;;;;"M8p";;;;;;;;;;-10.8096043832264;-9.96608655416905;-73.5447453722762;16505;2.35957221156878
48;"2MASS J15344984-2952274 A";"Confirmed";"30.1";"1.7";"1.7";;;;;;;;;;;;;;;;;;;;2008;"2019-03-21";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Astrometry";"Astrometry";;;;;233.707666683;-29.8742778012;;;;;;15.9;"0.27";"0.27";;;;;;;;;;;;;;;;;;;;-8.1607261907793;-11.1125987190574;-7.91976626854185;1252;1.24123815560286
49;"2MASS J15344984-2952274 B";"Confirmed";"28.2";"1.7";"1.7";;;;;;;"5550.0";"950.0";"950.0";"2.3";"0.3";"0.3";"0.24";"0.16";"0.16";"84.3";"0.8";"0.8";;2008;"2019-03-21";"178.0";"10.0";"10.0";"2456024.0";"347.0";"347.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4.9";"Published in a refereed paper";"Astrometry";"Astrometry";;;;;233.707666683;-29.8742778012;;;;;;15.9;"0.27";"0.27";;;;;;;;;;;;;;;;;;;;-8.1607261907793;-11.1125987190574;-7.91976626854185;1252;1.24123815560286
50;"2MASS J2250+2325 b";"Confirmed";"30.0";"4.0";"11.0";;;;;;;;;;"518.0";"40.0";"40.0";;;;;;;;2017;"2018-02-26";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Imaging";"Spectrum";;;;"2MASS J2250+2325";342.562500005;23.426111127;;;;;;41.5;"10.0";"10.0";;;;;;;;;;"M3";"0.15";;;;;;;;;36.3293448401664;-11.4110445528948;16.4989928691457;6817;3.25918696964474
51;"3 Cnc b";"Confirmed";;;;"20.76";"0.73";"0.73";;;;"853.64";"4.76";"4.76";"2.52";"0.04";"0.03";"0.04";"0.03";"0.04";;;;;2020;"2020-10-26";"275.18";"96.04";"73.58";"2453806.7";"175.74";"227.0";;;;;;;;;;;;;;;;;;;"216.17";"11.16";"11.16";;;;;;;;;;"Published in a refereed paper";"Radial Velocity";"Radial Velocity";;;;"3 Cnc";120.195833349;17.308611124;"5.6";;;;;243.3;"26.86";"34.46";"0.06";"0.1";"0.1";"2.94";"0.33";"0.36";"39.38";"3.3";"3.68";"K3 III";"0.43";"0.12";"0.22";"4319.0";"22.0";"34.0";;;;-116.828093918113;200.764344240043;72.3862179791581;66849;0.0107159817807426
52;"30 Ari B b";"Confirmed";;;;"9.88";"0.94";"0.94";;;;"335.1";"2.5";"2.5";"0.995";"0.012";"0.012";"0.289";"0.092";"0.092";;;;"0.025254";2009;"2009-11-26";"307.0";"18.0";"18.0";"2454538.0";"20.0";"20.0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Published in a refereed paper";"Radial Velocity";;;;;"30 Ari B";39.2416667;24.6480556;"7.1";;;;;39.4;"1.7";"1.7";"0.12";"0.08";"0.08";"1.22";"0.08";"0.08";"1.23";"0.07";"0.07";"F6V";"0.91";"0.03";"0.03";"6484.0";"98.0";"98.0";;;;27.7343991981311;22.6532288745528;16.4315039687738;6176;1.38315176957756
