"giliese_catalogue_name";"bayer_flamsteed_designation";"proper_name";"absolute_magnitude";"spectral_type";"colour_index";"x_parsecs";"y_parsecs";"z_parsecs";"constellation";"luminosity"
"Gl 423A";"53Xi  UMa";;"4.241";"G0 Ve";"0.59";"-8.730890";"1.610966";"5.446747";"UMa";"1.7522658618857085"
"Gl 423B";"53Xi  UMa";;"4.711";"G0 Ve";;"-8.730989";"1.610983";"5.446808";"UMa";"1.1365799747501515"
"NN 4071";;;"12.721";"m";;"1.874688";"-9.936221";"2.502937";;"0.0007105587633694728"
"Gl 595";;;"11.739";"M5";"1.591";"-5.564952";"-8.105292";"-3.476175";"Lib";"0.0017554966296212313"
"Gl 170";;;"13.819";"M4.5";"1.73";"3.050171";"7.401475";"6.681870";;"0.0002584639635769842"
"GJ 1265";;;"13.477";"m";"1.73";"8.895466";"-4.449330";"-3.171748";;"0.0003541604004264614"
"Gl 341";;;"9.392";"M0V";"1.472";"-3.996814";"3.305667";"-9.086618";"Car";"0.015247547676599162"
"NN 3412A";;;"10.908";"M:";"1.552";"-1.192279";"4.959470";"9.153660";"Lyn";"0.0037739835253658574"
"NN 3125";;;"14.009";"m";"1.90";"2.570337";"1.511870";"10.095079";;"0.00021697015538008494"
"NN 3270";;;"13.709";"dM4  e";;"4.506530";"9.374804";"1.614692";;"0.000286022369395428"
"GJ 2036B";;;"12.039";;"1.60";"1.690648";"5.661786";"-8.711423";;"0.0013316803762699798"
"NN 3849";;;"19.629";"dM9";;"-7.018974";"-5.323617";"5.759645";;"0.0000012257446320498035"
"Gl 352B";;;"10.687";;;"-8.160985";"6.187518";"-2.456396";"Hya";"0.004625940047661603"
"Gl 124";"Iot Per";;"3.936";"G0V";"0.595";"4.634786";"5.016825";"8.029067";"Per";"2.320598461598921"
"Gl 373";;;"8.871";"M2";"1.438";"-4.141492";"2.484907";"9.393073";"UMa";"0.02463769076721767"
"Gl 488";;;"8.369";"M0.5V";"1.409";"-10.312056";"-2.320430";"-0.141713";"Vir";"0.03912010393873508"
"Gl 654";;;"9.959";"M0V";"1.476";"-2.492689";"-10.231171";"-0.938748";"Oph";"0.009044821490475901"
"NN 3459";;;"11.553";"M2";"1.588";"-4.125626";"8.981866";"-3.838654";"Pup";"0.0020835311605717456"
"GJ 1206";;;"12.107";"DA";"0.160";"-1.679959";"-5.203377";"9.120323";"Dra";"0.0012508349283740653"
"NN 3010";;;"13.406";"m";;"9.934814";"0.386096";"3.784683";;"0.0003780941866832961"
;;;"9.688";"F8+...";"0.600";"4.059005";"9.824722";"0.985911";"Tau";"0.01160913870126181"
"GJ 1232";;;"13.376";"k-m";"1.85";"3.054997";"-9.710163";"3.241942";;"0.00038868698613730225"
"Gl 617A";;;"8.466";"M0Vvar";"1.409";"-1.800975";"-3.721866";"9.854777";"Dra";"0.03577667699361108"
"Gl 799A";;;"10.124";"Mpe";"1.550";"5.857959";"-6.867725";"-5.736307";"Mic";"0.00776962395992138"
"Gl 508A";;;"8.332";"K0";"1.469";"-6.763524";"-2.453736";"7.928718";"CVn";"0.040476224868787304"
"Gl 653";;;"7.552";"K5V";"1.100";"-2.532380";"-10.360059";"-0.945549";"Oph";"0.0830233015924954"
"Gl 635A";"40Zet Her";;"2.660";"F9IV";"0.650";"-3.073152";"-8.593139";"5.615032";"Her";"7.516228940182053"
"Wo 9492";;;"10.726";"M3";"1.615";"-3.307890";"-2.834190";"9.809417";"UMi";"0.004462723707622523"
"Gl 145";;;"11.315";;"1.560";"4.569153";"6.114994";"-7.554493";"Hor";"0.002594179362118812"
"Gl 766A";;;"12.755";"dM4.5 J";"1.72";"4.256757";"-8.559719";"4.897190";;"0.0006886522963442748"
"Gl 766B";;;"13.245";;;"4.256757";"-8.559719";"4.897190";;"0.0004385306977749856"
"Gl 617B";;;"10.535";"M3";"1.500";"-1.808253";"-3.738687";"9.906851";"Dra";"0.005321082592667937"
"Gl 413.1";;;"10.282";"M:";"1.529";"-9.540629";"2.135974";"-4.475893";"Crt";"0.006717381285473807"
"GJ 1041B";;;"13.842";"m";;"9.313051";"5.334067";"0.659830";;"0.0002530463049461394"
"Gl 228B";;;"12.337";;;"-0.505011";"10.592888";"1.931065";;"0.0010120454110965416"
"Gl 86";;;"5.956";"K0V";"0.812";"5.738173";"3.670852";"-8.359261";"Eri";"0.361077145100353"
"Gl 92";"8Del Tri";;"4.676";"G0V";"0.607";"7.369210";"5.020051";"6.065246";"Tri";"1.1738159324832202"
"Gl 909B";;;"11.535";"M2";;"2.692069";"-0.089412";"10.448184";"Cep";"0.0021183611352485"
"Gl 635B";;;"5.234";"K0 V";;"-3.096312";"-8.657766";"5.656936";"Her";"0.7021016602403143"
"Gl 660B";;;"12.033";;;"-2.250561";"-10.558660";"-0.349411";;"0.0013390598855467367"
"Gl 553.1";;;"11.749";"M4";"1.591";"-8.356758";"-6.471623";"-2.303800";"Lib";"0.001739402139780303"
"Gl 47";;;"10.658";"dM2.5e";"1.57";"5.001794";"1.371175";"9.499372";"Cas";"0.004751163763775616"
"NN 3928";;;"13.499";"m";;"-4.590406";"-7.603905";"6.265541";;"0.0003470563540079872"
"NN 4281";;;"16.957";"M6.5";"2.16";"9.758009";"-4.096832";"-2.525614";;"0.000014361506529074757"
"Gl 909A";;;"6.175";"K3V";"0.977";"2.717175";"-0.089877";"10.546133";"Cep";"0.2951209226666385"
"Gl 740";;;"9.031";"M2V";"1.444";"2.716642";"-10.504041";"1.122757";"Ser";"0.021261798598625196"
